STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Zone de référence,MEASURE,Mesure,FREQ,Fréquence d'observation,TIME_PERIOD,Période de temps,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MEASURE,Unité de mesure,UNIT_MULT,Multiplicateur d'unité,CURRENCY,Monnaie,BASE_PER,Période de base,METHODOLOGY,Méthode,DECIMALS,Decimals,PRICE_BASE,Ajustement,ADJUSTMENT,Base de prix
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.2),Perspectives Economiques 116,I,EA17,Zone euro (17 pays),IRS,Taux d'intérêt à court terme,Q,Trimestrielle,2019-Q4,,-0.402951759834368,,,,PO,Points,0,Units,,,,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.2),Perspectives Economiques 116,I,EA17,Zone euro (17 pays),IRS,Taux d'intérêt à court terme,Q,Trimestrielle,2020-Q1,,-0.405540909090909,,,,PO,Points,0,Units,,,,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.2),Perspectives Economiques 116,I,EA17,Zone euro (17 pays),IRS,Taux d'intérêt à court terme,Q,Trimestrielle,1999-Q2,,2.82769229433195,,,,PO,Points,0,Units,,,,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.2),Perspectives Economiques 116,I,EA17,Zone euro (17 pays),IRS,Taux d'intérêt à court terme,Q,Trimestrielle,1999-Q3,,2.88870369388152,,,,PO,Points,0,Units,,,,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.2),Perspectives Economiques 116,I,EA17,Zone euro (17 pays),IRS,Taux d'intérêt à court terme,Q,Trimestrielle,1999-Q4,,3.61319110829274,,,,PO,Points,0,Units,,,,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.2),Perspectives Economiques 116,I,EA17,Zone euro (17 pays),IRS,Taux d'intérêt à court terme,Q,Trimestrielle,2000-Q1,,3.65160606393087,,,,PO,Points,0,Units,,,,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.2),Perspectives Economiques 116,I,EA17,Zone euro (17 pays),IRS,Taux d'intérêt à court terme,Q,Trimestrielle,2000-Q2,,4.33285221515457,,,,PO,Points,0,Units,,,,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.2),Perspectives Economiques 116,I,EA17,Zone euro (17 pays),IRS,Taux d'intérêt à court terme,Q,Trimestrielle,2000-Q3,,4.78560104548151,,,,PO,Points,0,Units,,,,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.2),Perspectives Economiques 116,I,EA17,Zone euro (17 pays),IRS,Taux d'intérêt à court terme,Q,Trimestrielle,2000-Q4,,5.04636036235045,,,,PO,Points,0,Units,,,,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.2),Perspectives Economiques 116,I,EA17,Zone euro (17 pays),IRS,Taux d'intérêt à court terme,Q,Trimestrielle,2001-Q1,,4.76212841892617,,,,PO,Points,0,Units,,,,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.2),Perspectives Economiques 116,I,EA17,Zone euro (17 pays),IRS,Taux d'intérêt à court terme,Q,Trimestrielle,2001-Q2,,4.60827614355187,,,,PO,Points,0,Units,,,,,,,2,Two,,,,
